       Key |   Top Left   |   Top Right  |  Bottom Left | Bottom Right
-----------------------------------------------------------------------------
         ` | [ 804 1759] | [ 837 1758] | [ 807 1791] | [ 842 1789]
         1 | [ 762 1760] | [ 795 1759] | [ 765 1792] | [ 799 1791]
         2 | [ 720 1761] | [ 754 1760] | [ 723 1793] | [ 757 1792]
         5 | [ 594 1766] | [ 629 1763] | [ 596 1796] | [ 630 1795]
         6 | [ 554 1765] | [ 587 1764] | [ 553 1796] | [ 587 1797]
         7 | [ 512 1767] | [ 547 1766] | [ 513 1799] | [ 547 1796]
         8 | [ 470 1768] | [ 504 1766] | [ 471 1800] | [ 504 1798]
         9 | [ 430 1768] | [ 463 1767] | [ 429 1801] | [ 463 1798]
         0 | [ 388 1770] | [ 422 1768] | [ 387 1802] | [ 421 1800]
         - | [ 348 1770] | [ 381 1769] | [ 345 1803] | [ 378 1802]
         = | [ 306 1771] | [ 340 1771] | [ 303 1803] | [ 337 1803]
    DELETE | [ 244 1773] | [ 299 1772] | [ 240 1804] | [ 295 1804]
         U | [ 492 1729] | [ 527 1729] | [ 492 1760] | [ 525 1759]
         [ | [ 330 1733] | [ 364 1732] | [ 327 1763] | [ 360 1764]
         ] | [ 290 1734] | [ 324 1734] | [ 286 1764] | [ 319 1765]
         \ | [ 250 1735] | [ 283 1734] | [ 246 1766] | [ 278 1766]
         3 | [ 678 1762] | [ 712 1761] | [ 682 1795] | [ 715 1792]
         Y | [ 532 1729] | [ 566 1727] | [ 533 1759] | [ 567 1758]
         4 | [ 636 1764] | [ 670 1762] | [ 638 1795] | [ 672 1794]
         I | [ 451 1733] | [ 485 1730] | [ 451 1763] | [ 485 1760]
         P | [ 368 1733] | [ 404 1730] | [ 368 1763] | [ 402 1760]
         O | [ 413 1731] | [ 446 1732] | [ 409 1762] | [ 443 1762]
         H | [ 522 1687] | [ 557 1687] | [ 520 1717] | [ 554 1717]
       TAB | [ 782 1732] | [ 833 1731] | [ 781 1762] | [ 836 1761]
         J | [ 484 1691] | [ 517 1693] | [ 481 1722] | [ 514 1723]
         Q | [ 738 1732] | [ 771 1731] | [ 740 1763] | [ 775 1761]
         T | [ 572 1733] | [ 604 1730] | [ 575 1763] | [ 608 1760]
         G | [ 562 1686] | [ 595 1684] | [ 563 1716] | [ 598 1714]
         W | [ 699 1730] | [ 732 1731] | [ 699 1761] | [ 732 1762]
         R | [ 614 1732] | [ 648 1730] | [ 617 1763] | [ 650 1761]
         E | [ 656 1731] | [ 690 1730] | [ 659 1763] | [ 691 1762]
         F | [ 601 1691] | [ 635 1687] | [ 605 1719] | [ 638 1716]
         K | [ 444 1687] | [ 478 1687] | [ 443 1718] | [ 477 1716]
 CAPS_LOCK | [ 766 1688] | [ 830 1688] | [ 767 1716] | [ 830 1718]
         D | [ 645 1688] | [ 678 1686] | [ 647 1718] | [ 680 1717]
         B | [ 543 1650] | [ 576 1651] | [ 541 1679] | [ 575 1679]
         N | [ 505 1654] | [ 538 1655] | [ 504 1684] | [ 536 1684]
         V | [ 582 1649] | [ 616 1650] | [ 582 1679] | [ 614 1680]
         A | [ 723 1688] | [ 756 1686] | [ 726 1718] | [ 760 1716]
         S | [ 685 1687] | [ 718 1688] | [ 686 1718] | [ 719 1717]
         L | [ 404 1689] | [ 439 1687] | [ 404 1719] | [ 438 1716]
         ' | [ 324 1687] | [ 357 1686] | [ 321 1718] | [ 353 1718]
         C | [ 623 1650] | [ 654 1649] | [ 623 1680] | [ 655 1680]
         M | [ 464 1653] | [ 496 1649] | [ 466 1681] | [ 498 1677]
         ; | [ 364 1688] | [ 398 1687] | [ 363 1719] | [ 396 1717]
         X | [ 659 1651] | [ 693 1652] | [ 659 1680] | [ 693 1680]
         , | [ 424 1653] | [ 458 1650] | [ 424 1681] | [ 458 1678]
     SPACE | [ 473 1611] | [ 654 1612] | [ 462 1642] | [ 654 1642]
     SHFT1 | [ 743 1651] | [ 825 1650] | [ 743 1680] | [ 827 1679]
      CMD1 | [ 656 1606] | [ 699 1604] | [ 659 1639] | [ 702 1637]
         Z | [ 700 1653] | [ 732 1650] | [ 703 1681] | [ 736 1679]
      CTRL | [ 707 1614] | [ 821 1607] | [ 712 1645] | [ 824 1639]
      ALT1 | [ 706 1612] | [ 739 1609] | [ 711 1644] | [ 743 1642]
      CMD2 | [ 417 1608] | [ 460 1607] | [ 416 1641] | [ 459 1640]
        FN | [ 787 1609] | [ 820 1607] | [ 791 1641] | [ 824 1640]
      ALT2 | [ 381 1608] | [ 413 1608] | [ 378 1641] | [ 410 1641]
    ARROWS | [ 301 1623] | [ 335 1623] | [ 298 1656] | [ 330 1656]
         . | [ 386 1652] | [ 419 1650] | [ 386 1681] | [ 418 1679]
    RETURN | [ 262 1688] | [ 317 1688] | [ 248 1714] | [ 312 1718]
     SHFT2 | [ 259 1651] | [ 340 1650] | [ 260 1680] | [ 336 1680]
         / | [ 346 1652] | [ 379 1650] | [ 345 1681] | [ 378 1678]
